model,version,year,km,color,price,location
MiTo,1.3 JTD City,2013,180000,Kýrmýzý,335000,Kocaeli Kartepe
159,1.9 JTD Distinctive,2008,289000,Füme,370750,Ýstanbul Kadýköy
156,2.0 TS,1998,276000,Siyah,122000,Antalya Alanya
Giulietta,1.6 JTD Distinctive,2012,300000,Kýrmýzý,330000,Antalya Muratpaþa
Giulietta,1.6 JTD Distinctive,2013,176000,Kýrmýzý,385000,Ýstanbul Zeytinburnu
156,2.0 TS Selespeed,2000,73000,Gümüþ Gri,399000,Ýstanbul Kadýköy
Giulietta,1.4 TB MultiAir Distinctive,2012,109000,Beyaz,529500,Ýstanbul Ataþehir
Giulietta,1.4 TB MultiAir Distinctive,2011,140000,Beyaz,389000,Kütahya Merkez
Giulietta,1.6 JTD Distinctive,2012,120000,Beyaz,419000,Ýzmir Gaziemir
Giulietta,1.4 TB MultiAir Distinctive,2014,164000,Kýrmýzý,615000,Uþak Merkez
Giulietta,1.6 JTD Progression Plus,2012,163000,Beyaz,390000,Eskiþehir Odunpazarý
147,1.6 TS Distinctive,2005,214000,Gri,164000,Kocaeli Gölcük
159,1.9 JTD Distinctive Plus,2007,312000,Gümüþ Gri,345000,Bursa Yýldýrým
Giulietta,1.6 JTD Distinctive,2013,129700,Beyaz,495000,Ýzmir Karþýyaka
Giulietta,1.6 JTD Super TCT,2016,107000,Beyaz,565000,Kahramanmaraþ Dulkadiroðlu
156,1.6 TS,1998,221000,Gümüþ Gri,155000,Denizli Pamukkale
Giulietta,1.6 JTD Distinctive,2011,219000,Beyaz,385000,Antalya Aksu
GTV,2.0 TB,1997,142000,Beyaz,421000,Antalya Aksu
Giulietta,1.4 TB Progression Plus,2014,63000,Beyaz,545000,Ýstanbul Büyükçekmece
Giulietta,1.6 JTD Super TCT,2020,49000,Beyaz,795000,Antalya Muratpaþa
Giulietta,1.4 TB MultiAir Distinctive,2013,123000,Beyaz,519000,Manisa Salihli
Giulietta,1.6 JTD Super TCT,2016,189000,Kýrmýzý,560000,Antalya Kemer
MiTo,1.4 T Distinctive,2009,194000,Siyah,320000,Kocaeli Ýzmit
Giulietta,1.6 JTD Distinctive,2012,154500,Beyaz,372000,Bursa Nilüfer
Giulietta,1.6 JTD Progression Plus,2012,193900,Beyaz,325250,Yalova Merkez
Giulietta,1.4 TB MultiAir Distinctive,2012,207000,Beyaz,499900,Ýstanbul Ataþehir
Giulietta,1.6 JTD Distinctive,2011,177000,Beyaz,385000,Ýstanbul Ümraniye
Giulia,2.0 T Veloce,2022,6500,Siyah,2275000,Gaziantep Þehitkamil
Giulietta,1.6 JTD Distinctive,2013,190000,Beyaz,417000,Gaziantep Þehitkamil
156,1.6 TS,1998,220000,Beyaz,165000,Mersin Toroslar
Giulietta,1.6 JTD Super TCT,2018,72900,Kýrmýzý,639000,Ýstanbul Baðcýlar
159,1.9 JTD Distinctive Plus,2008,313000,Kahverengi,415000,Ýzmir Çiðli
Giulietta,1.6 JTD Super TCT,2018,58000,Mavi,789000,Ýzmir Bornova
Giulietta,1.6 JTD Sprint,2020,16500,Beyaz,780000,Adana Çukurova
156,1.6 TS Distinctive,2000,300000,Yeþil,158500,Ankara Keçiören
Giulietta,1.4 TB MultiAir Distinctive,2014,124000,Kýrmýzý,457000,Kahramanmaraþ Onikiþubat
147,1.6 TS Collezione,2008,314000,Siyah,285000,Ýstanbul Pendik
Giulietta,1.4 TB MultiAir Distinctive,2013,144800,Siyah,495000,Ankara Yenimahalle
156,1.6 TS Distinctive,2003,380000,Siyah,145000,Malatya Yeþilyurt
147,1.6 TS Collezione,2008,159300,Siyah,285000,Uþak Merkez
Giulietta,1.6 JTD Progression Plus,2015,157000,Kýrmýzý,461000,Konya Selçuklu
Giulietta,1.4 TB MultiAir Distinctive,2012,177500,Beyaz,515000,Antalya Muratpaþa
Giulietta,1.4 TB MultiAir Distinctive,2013,130000,Beyaz,485000,Antalya Muratpaþa
Giulietta,1.6 JTD Super TCT,2018,155200,Gri,609000,Ýstanbul Sancaktepe
Giulietta,1.6 JTD Distinctive,2013,161000,Beyaz,410000,Ýstanbul Sancaktepe
147,1.6 TS Distinctive,2003,182000,Kýrmýzý,240000,Ýstanbul Fatih
Giulietta,1.4 TB MultiAir Distinctive,2012,133000,Beyaz,495000,Uþak Merkez
145,1.6,1996,240000,Kýrmýzý,139000,Muðla Bodrum
Giulietta,1.4 TB MultiAir Distinctive,2015,252000,Siyah,520850,Ýstanbul Maltepe
159,3.2 JTS Q4 Distinctive,2006,208000,Füme,1250000,Ýstanbul Sarýyer
166,2.0 TS,2001,240000,Gri,170000,Mardin Artuklu
147,1.6 TS Distinctive,2006,198000,Gri,225000,Ýstanbul Bahçelievler
159,1.9 JTD Distinctive,2006,264000,Gümüþ Gri,359000,Adana Seyhan
156,1.6 TS Distinctive,2006,299000,Füme,215500,Aydýn Söke
MiTo,1.4 T MultiAir Quadrifoglio Verde,2010,118000,Kýrmýzý,320000,Ýstanbul Esenyurt
Giulietta,1.6 JTD Progression,2017,45000,Beyaz,710000,Ankara Çankaya
156,1.6 TS Distinctive,2004,224000,Siyah,190000,Bursa Yýldýrým
Giulietta,1.4 TB MultiAir Distinctive,2014,78000,Kýrmýzý,645000,Sakarya Serdivan
Giulietta,1.6 JTD Progression Plus,2012,93000,Kýrmýzý,425000,Ýstanbul Maltepe
156,1.6 TS,2004,264000,Þampanya,231000,Gaziantep Þahinbey
147,1.6 TS Progression,2005,292000,Bej,242000,Ýstanbul Tuzla
159,1.9 JTD Distinctive,2006,271000,Gümüþ Gri,310000,Bursa Mustafakemalpaþa
145,1.4 TS STD,1998,245000,Kýrmýzý,91750,Ýstanbul Baþakþehir
147,1.6 TS Progression,2007,77500,Kýrmýzý,335000,Çanakkale Lapseki
Giulietta,1.6 JTD Distinctive,2011,215000,Kýrmýzý,355000,Antalya Kepez
Giulietta,1.4 TB MultiAir Distinctive,2013,81000,Beyaz,565000,Ankara Yenimahalle
Giulietta,1.6 JTD Distinctive,2011,260000,Beyaz,349500,Ýstanbul Baðcýlar
Giulietta,1.6 JTD Progression Plus,2014,260000,Beyaz,349000,Gaziantep Þahinbey
147,1.6 TS Distinctive,2008,225000,Mavi,205000,Adýyaman Kahta
Giulietta,1.6 JTD Distinctive,2014,135000,Kýrmýzý,477000,Ankara Çankaya
147,1.6 TS Distinctive,2008,158000,Kýrmýzý,247000,Antalya Alanya
147,1.6 TS Distinctive,2005,298000,Siyah,189900,Aydýn Efeler
147,1.6 TS Distinctive,2006,190000,Beyaz,259500,Muðla Fethiye
166,2.0 TS,1999,145000,Siyah,185000,Ýzmir Buca
Giulietta,1.6 JTD Distinctive,2014,170000,Beyaz,620000,Ýzmir Karþýyaka
147,1.6 TS Distinctive,2006,172000,Mavi,300000,Ýstanbul Küçükçekmece
147,1.6 TS Distinctive,2005,167000,Siyah,215000,Ýzmir Kemalpaþa
Giulietta,1.4 TB MultiAir Distinctive,2012,137000,Gümüþ Gri,458000,Ankara Çankaya
147,1.6 TS Distinctive,2004,198500,Gümüþ Gri,250000,Burdur Merkez
MiTo,1.4 T Distinctive,2009,168000,Sarý,305000,Ýstanbul Kadýköy
Giulietta,1.6 JTD Distinctive,2011,230000,Beyaz,375000,Kýrýkkale Merkez
156,1.6 TS Distinctive,2004,245500,Siyah,247500,Bursa Mustafakemalpaþa
MiTo,1.3 JTD City,2012,146700,Beyaz,325000,Manisa Soma
Giulietta,1.4 TB MultiAir Distinctive,2011,94000,Gümüþ Gri,500000,Balýkesir Karesi
156,1.6 TS Distinctive,2004,280000,Gri,197500,Yozgat Sorgun
MiTo,1.6 JTD Progression,2009,217000,Kahverengi,319900,Ýstanbul Büyükçekmece
146,1.6 L,1996,323000,Füme,120000,Mersin Yeniþehir
159,1.9 JTD Distinctive,2008,196000,Kahverengi,389750,Tokat Merkez
159,1.9 JTD Distinctive,2006,325000,Gümüþ Gri,300000,Bursa Yýldýrým
156,1.6 TS Distinctive,2004,328000,Gri,200000,Ýzmir Buca
Giulietta,1.4 TB MultiAir Distinctive,2015,86000,Siyah,598900,Ýstanbul Esenyurt
Giulietta,1.6 JTD Distinctive,2015,118000,Beyaz,507500,Ankara Çankaya
147,1.6 TS Distinctive,2005,333500,Kýrmýzý,179750,Ýstanbul Güngören
Giulietta,1.4 TB MultiAir Distinctive,2015,57000,Beyaz,650000,Ýstanbul Kadýköy
Giulietta,1.6 JTD Super TCT,2016,140000,Beyaz,600000,Eskiþehir Odunpazarý
Giulietta,1.4 TB MultiAir Distinctive,2011,180000,Kýrmýzý,375000,Ýstanbul Eyüpsultan
156,1.6 TS Distinctive,2004,202000,Siyah,237000,Denizli Merkezefendi
147,1.6 TS Distinctive,2004,244000,Siyah,196000,Adana Çukurova
Giulietta,1.6 JTD Progression Plus,2012,158000,Kýrmýzý,350000,Ýstanbul Avcýlar
GT,2.0 JTS Dis.Selespeed,2006,136000,Siyah,318000,Denizli Merkezefendi
Giulietta,1.4 TB MultiAir Distinctive,2012,84000,Beyaz,595000,Ankara Çankaya
147,1.6 TS Black Line,2003,280000,Kýrmýzý,160000,Balýkesir Altýeylül
156,1.6 TS,1998,340000,Gri,145000,Kocaeli Ýzmit
156,1.6 TS Progression,2005,242000,Mavi,225000,Muðla Marmaris
